Year,Surge [mm],Steric [mean],Glaciers [mean],Greenland Ice Sheet [mean],Antarctic Ice Sheet [mean],Terrestrial Water Storage [mean],GIA [mean],sea_surface_height_due_to_tide [mm]
1999,80.22931608324399,-10.23642827190916,-3.814285516738892,2.916934967041016,-3.377537727355957,-2.473911762237549,-6.859527357027428,48.14892827993409
2000,70.24067194671073,-13.22292805605936,-3.610576391220093,2.814326286315918,-3.149062156677246,-4.423867225646973,-6.23593396093401,49.34585861926488
2001,55.70088893881327,-7.892244663477908,-3.362147331237793,2.711448907852173,-2.989291191101074,-2.242237091064453,-5.612340564840591,50.32410190966166
2002,30.914011002616853,-5.975537301602758,-3.086115598678589,2.48083233833313,-2.879118919372559,-0.06752582639455795,-4.988747168747217,52.27546860375972
2003,15.654612574842966,-4.262376290289558,-2.632779836654663,2.23146653175354,-2.560451030731201,0.6907852292060852,-4.365153772653803,53.89711853925246
2004,61.47823910925878,-5.03137727383299,-2.086559534072876,1.954775214195251,-2.054722309112549,-0.5691120028495789,-3.74156037656042,54.77278597739282
2005,43.48486250484687,-3.876289813000631,-1.780784845352173,1.584073781967163,-2.123752593994141,1.253899574279785,-3.117966980467005,54.84768080853487
2006,48.693691871997764,0.2641019072563874,-1.25457227230072,1.212271571159363,-2.398908615112305,0.1532286703586578,-2.494373584373609,55.76791103198747
2007,75.00119055293668,1.54069851148921,-0.9502822160720825,0.8397698402404785,-1.779757738113403,-0.9124630093574524,-1.87078018828021,55.73673802391945
2008,66.78931672292063,1.337998227689375,-0.6641159057617188,0.6143594980239868,-0.9377532601356506,-1.216661810874939,-1.247186792186804,54.60403096812655
2009,39.56736699449995,-0.5477476306231412,-0.3283512890338898,0.5176047682762146,-1.033746242523193,-0.5243316292762756,-0.6235933960934021,52.679904873852905
2010,23.521469984321257,2.469505548022126,0.1472271233797073,0.08049708604812622,-0.1628822237253189,0.03188445046544075,0.0,52.38612663680468
2011,57.246138765005895,0.05040040841862634,0.3360006511211395,-0.5257261991500854,0.1326334178447723,-3.319267988204956,0.6235933960934021,51.035073811103224
2012,46.94907511882474,1.190074111450894,0.3767288625240326,-0.9588713049888611,0.443754106760025,-0.01520396675914526,1.247186792186804,49.108817843067754
2013,20.9586081370292,4.774383431744056,0.7617048025131226,-1.382421255111694,1.175682783126831,0.2949292361736298,1.87078018828021,47.133926069851974
2014,45.12171778348589,1.687151703164004,1.178300857543945,-1.458345770835876,1.897759079933167,-1.601791262626648,2.494373584373609,47.48499753312972
2015,68.10459690434256,-3.326730140771119,1.86280083656311,-1.558061003684998,2.882942914962769,2.023855447769165,3.117966980467005,47.120899443873846
2016,26.83880388253614,-1.386824728210323,2.316292285919189,-1.732789397239685,2.635024785995483,3.744245529174805,3.74156037656042,46.830226444070455
2017,67.43244394293595,5.669180856294564,2.836158037185669,-1.958950996398926,2.785035610198975,0.336457759141922,4.365153772653803,46.569234692761746
