Year,Surge [mm],Steric [mean],Glaciers [mean],Greenland Ice Sheet [mean],Antarctic Ice Sheet [mean],Terrestrial Water Storage [mean],GIA [mean]
1979,41.709907227150595,-27.21805609113646,-10.70979595184326,4.054696083068848,-5.265072822570801,-3.645943164825439,-19.33139527889547
1980,38.09430259467959,-20.97150851813874,-10.42794418334961,3.951322793960571,-5.209644317626953,-2.116809129714966,-18.70780188280206
1981,71.9655498929078,-20.36555823859679,-10.14793491363525,3.762538433074951,-5.154229640960693,-2.371740579605103,-18.08420848670863
1982,45.45009043204231,-22.07193673607738,-9.782400131225586,3.623867034912109,-5.098806381225586,-2.89365291595459,-17.46061509061521
1983,81.9268392544806,-26.73104203510485,-9.589190483093262,3.707277774810791,-5.04339075088501,-2.475059270858765,-16.83702169452182
1984,35.33547954116069,-24.44059812373275,-9.286208152770996,3.755499124526978,-4.987960338592529,-3.762578964233398,-16.21342829842837
1985,39.81825915076151,-23.90476622917424,-9.016059875488281,3.67962121963501,-4.932547092437744,-4.576700687408447,-15.58983490233502
1986,45.198698046373444,-23.31153602803162,-8.788378715515137,3.617167949676514,-4.877118587493896,-4.548233032226562,-14.96624150624168
1987,17.94668038332333,-20.09345573748687,-8.56931209564209,3.617661952972412,-4.821690082550049,-1.347869873046875,-14.34264811014826
1988,75.85517232842699,-18.43412411119615,-8.39285659790039,3.520415306091309,-4.76625919342041,-1.622342944145203,-13.71905471405486
1989,55.79988258750176,-22.74226528320897,-7.930114269256592,3.390158176422119,-4.710840225219727,-4.082771301269531,-13.09546131796142
1990,104.18843158475744,-24.65849007112235,-7.389846801757812,3.315140962600708,-4.655421733856201,-3.694530963897705,-12.47186792186802
1991,27.45288722625425,-26.5576082181607,-7.005332946777344,3.248790979385376,-4.600005149841309,-2.943597793579102,-11.84827452577461
1992,51.22463203013687,-29.62222832005069,-6.883045673370361,3.335268259048462,-4.761440753936768,-1.429726719856262,-11.22468112968118
1993,37.424676805644104,-25.0692499202411,-6.43619441986084,3.302587270736694,-4.728897094726562,-3.295569181442261,-10.60108773358777
1994,70.76409099191739,-26.35211100672599,-5.912556171417236,3.216415643692017,-4.384907245635986,-3.252983570098877,-9.977494337494434
1995,55.173921049894105,-24.22674891247757,-5.365596771240234,3.025075197219849,-4.133617401123047,-2.143037796020508,-9.353900941401028
1996,-24.380315108054884,-20.48380610312153,-5.149232864379883,3.158972501754761,-4.007998466491699,-2.508427858352661,-8.730307545307607
1997,16.802611010626332,-21.09537618780665,-4.576691627502441,3.149446725845337,-3.851217985153198,-3.157256126403809,-8.106714149214184
1998,85.10578223199632,-14.63557762114472,-4.15564489364624,3.016568660736084,-3.674072504043579,-1.384785056114197,-7.483120753120839
1999,80.22931608324399,-10.23642827190916,-3.814285516738892,2.916934967041016,-3.377537727355957,-2.473911762237549,-6.859527357027428
2000,70.24067194671073,-13.22292805605936,-3.610576391220093,2.814326286315918,-3.149062156677246,-4.423867225646973,-6.23593396093401
2001,55.70088893881327,-7.892244663477908,-3.362147331237793,2.711448907852173,-2.989291191101074,-2.242237091064453,-5.612340564840591
2002,30.914011002616853,-5.975537301602758,-3.086115598678589,2.48083233833313,-2.879118919372559,-0.06752582639455795,-4.988747168747217
2003,15.654612574842966,-4.262376290289558,-2.632779836654663,2.23146653175354,-2.560451030731201,0.6907852292060852,-4.365153772653803
2004,61.47823910925878,-5.03137727383299,-2.086559534072876,1.954775214195251,-2.054722309112549,-0.5691120028495789,-3.74156037656042
2005,43.48486250484687,-3.876289813000631,-1.780784845352173,1.584073781967163,-2.123752593994141,1.253899574279785,-3.117966980467005
2006,48.693691871997764,0.2641019072563874,-1.25457227230072,1.212271571159363,-2.398908615112305,0.1532286703586578,-2.494373584373609
2007,75.00119055293668,1.54069851148921,-0.9502822160720825,0.8397698402404785,-1.779757738113403,-0.9124630093574524,-1.87078018828021
2008,66.78931672292063,1.337998227689375,-0.6641159057617188,0.6143594980239868,-0.9377532601356506,-1.216661810874939,-1.247186792186804
2009,39.56736699449995,-0.5477476306231412,-0.3283512890338898,0.5176047682762146,-1.033746242523193,-0.5243316292762756,-0.6235933960934021
2010,23.521469984321257,2.469505548022126,0.1472271233797073,0.08049708604812622,-0.1628822237253189,0.03188445046544075,0.0
2011,57.246138765005895,0.05040040841862634,0.3360006511211395,-0.5257261991500854,0.1326334178447723,-3.319267988204956,0.6235933960934021
2012,46.94907511882474,1.190074111450894,0.3767288625240326,-0.9588713049888611,0.443754106760025,-0.01520396675914526,1.247186792186804
2013,20.9586081370292,4.774383431744056,0.7617048025131226,-1.382421255111694,1.175682783126831,0.2949292361736298,1.87078018828021
2014,45.12171778348589,1.687151703164004,1.178300857543945,-1.458345770835876,1.897759079933167,-1.601791262626648,2.494373584373609
2015,68.10459690434256,-3.326730140771119,1.86280083656311,-1.558061003684998,2.882942914962769,2.023855447769165,3.117966980467005
2016,26.83880388253614,-1.386824728210323,2.316292285919189,-1.732789397239685,2.635024785995483,3.744245529174805,3.74156037656042
2017,67.43244394293595,5.669180856294564,2.836158037185669,-1.958950996398926,2.785035610198975,0.336457759141922,4.365153772653803
