# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and tide [mm relative to NAP(2005)]
# predicted_linear -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind_last_tide  -> fitted sea surface height based on linear model with wind and nodal tide at epoch   [mm relative to NAP(2005)]
year,height,u2,v2,predicted_linear_with_wind,predicted_linear,predicted_linear_mean_wind_last_tide,date
1890,-194.66666666666666,3.3482018,0.66977715,-164.41781114744438,-167.77670849255094,-123.20420635900763,1890-01-01
1891,-179.0,3.3482018,0.66977715,-160.93826103671708,-163.58042886789707,-121.3476734571642,1891-01-01
1892,-166.5,3.3482018,0.66977715,-158.65745734495735,-160.79567439869783,-119.49114055532075,1892-01-01
1893,-142.16666666666666,3.3482018,0.66977715,-157.62328976848286,-159.51947186408606,-117.63460765347733,1893-01-01
1894,-141.83333333333334,3.3482018,0.66977715,-157.74293356745736,-159.67856977812457,-115.77807475163391,1894-01-01
1895,-173.0,3.3482018,0.66977715,-158.79332718704012,-161.03770667388255,-113.92154184979046,1895-01-01
1896,-185.0,3.3482018,0.66977715,-160.4463503992127,-163.22616631410375,-112.06500894794704,1896-01-01
1897,-179.33333333333334,3.3482018,0.66977715,-162.3058609747558,-165.77962240086867,-110.20847604610358,1897-01-01
1898,-138.33333333333334,3.3482018,0.66977715,-163.95240935959944,-168.19254954973704,-108.35194314426016,1898-01-01
1899,-141.0,3.3482018,0.66977715,-164.99058417265684,-169.97528462349288,-106.49541024241671,1899-01-01
1900,-176.5,3.3482018,0.66977715,-165.09364438746613,-170.70929760984018,-104.63887734057329,1900-01-01
1901,-196.83333333333334,3.3482018,0.66977715,-164.04040032636598,-170.09443332567503,-102.78234443872987,1901-01-01
1902,-225.16666666666666,3.3482018,0.66977715,-161.74018051360818,-167.98279152598968,-100.92581153688641,1902-01-01
1903,-113.83333333333333,3.3482018,0.66977715,-158.24306624615878,-164.39542118966125,-99.06927863504299,1903-01-01
1904,-151.83333333333334,3.3482018,0.66977715,-153.73423865185077,-159.51994460946642,-97.21274573319954,1904-01-01
1905,-176.66666666666666,3.3482018,0.66977715,-148.51307631244367,-153.68937946789487,-95.35621283135612,1905-01-01
1906,-139.83333333333334,3.3482018,0.66977715,-142.95936281383604,-147.3445493634876,-93.49967992951267,1906-01-01
1907,-162.66666666666666,3.3482018,0.66977715,-137.49041855662762,-140.98432571113872,-91.64314702766924,1907-01-01
1908,-169.83333333333334,3.3482018,0.66977715,-132.5139955871402,-135.10931747721585,-89.78661412582579,1908-01-01
1909,-119.5,3.3482018,0.66977715,-128.38225245938008,-130.1653647880219,-87.93008122398237,1909-01-01
1910,-110.33333333333333,3.3482018,0.66977715,-125.3520042295983,-126.49321458797748,-86.07354832213895,1910-01-01
1911,-132.33333333333334,3.3482018,0.66977715,-123.55573437757772,-124.29005872313456,-84.21701542029551,1911-01-01
1912,-70.16666666666667,3.3482018,0.66977715,-122.98664069297588,-123.58727585071095,-82.36048251845207,1912-01-01
1913,-98.83333333333333,3.3482018,0.66977715,-123.49940307691601,-124.24688956347522,-80.50394961660864,1913-01-01
1914,-86.5,3.3482018,0.66977715,-124.82658659298525,-125.97714251928461,-78.6474167147652,1914-01-01
1915,-124.33333333333333,3.3482018,0.66977715,-126.60882826819763,-128.36542864109921,-76.79088381292176,1915-01-01
1916,-73.33333333333333,3.3482018,0.66977715,-128.43540029944884,-130.92486615523467,-74.93435091107833,1916-01-01
1917,-127.83333333333333,3.3482018,0.66977715,-129.8905710810187,-133.14925452179062,-73.07781800923489,1917-01-01
1918,-131.5,3.3482018,0.66977715,-130.60053103783827,-134.57021197677707,-71.22128510739147,1918-01-01
1919,-153.66666666666666,3.3482018,0.66977715,-130.27558649661196,-134.81004426824055,-69.36475220554803,1919-01-01
1920,-149.16666666666666,3.3482018,0.66977715,-128.74285894857397,-133.62437701148826,-67.50821930370459,1920-01-01
1921,-119.33333333333333,3.3482018,0.66977715,-125.96579876450554,-130.92973952316066,-65.65168640186116,1921-01-01
1922,-126.33333333333333,3.3482018,0.66977715,-122.04831074541028,-126.81298660036968,-63.79515350001772,1922-01-01
