# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and tide [mm relative to NAP(2005)]
# predicted_linear -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind  -> fitted sea surface height based on linear model with wind and 0 nodal tide   [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% prediction interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% prediction interval [mm relative to NAP(2005)]
index,year,height,u2,v2,predicted_linear_with_wind,predicted_linear,predicted_linear_mean_wind,predicted_linear_mean_wind_ci_025,predicted_linear_mean_wind_ci_975,predicted_linear_mean_wind_pi_025,predicted_linear_mean_wind_pi_975,date
28,1890,-194.66666666666666,3.3162873,0.6683467,-164.32955784970284,-167.70594516611294,-173.3046447047699,-182.1870179264038,-164.42227148313603,-220.2620896226628,-126.34719978687703,1890-01-01
29,1891,-179.0,3.3162873,0.6683467,-160.8567706095936,-163.40876817677406,-171.4530762733443,-180.23830940516177,-162.66784314152682,-218.3922432914,-124.51390925528858,1891-01-01
30,1892,-166.5,3.3162873,0.6683467,-158.58004464069845,-160.49398250670365,-169.60150784191862,-178.28985344743273,-160.9131622364045,-216.52263771460395,-122.68037796923329,1892-01-01
31,1893,-142.16666666666666,3.3162873,0.6683467,-157.54736973123866,-159.07449231441188,-167.74993941049294,-176.34165859758338,-159.1582202234025,-214.65327317002826,-120.84660565095763,1893-01-01
32,1894,-141.83333333333334,3.3162873,0.6683467,-157.6663130222584,-159.09441981999154,-165.89837097906727,-174.39373376515636,-157.40300819297818,-212.78414993213377,-119.01259202600076,1894-01-01
33,1895,-173.0,3.3162873,0.6683467,-158.71445239509853,-160.33541252676534,-164.0468025476416,-172.44608824305672,-155.64751685222646,-210.9152682720682,-117.17833682321498,1895-01-01
34,1896,-185.0,3.3162873,0.6683467,-160.36448243666743,-162.44128982672,-162.19523411621591,-170.4987317267191,-153.89173650571274,-209.0466284576459,-115.34383977478592,1896-01-01
35,1897,-179.33333333333334,3.3162873,0.6683467,-162.22115913893143,-164.95824699653278,-160.3436656847903,-168.5516743343073,-152.13565703527328,-207.178230753328,-113.5091006162526,1897-01-01
36,1898,-138.33333333333334,3.3162873,0.6683467,-163.86591318827132,-167.3860785457344,-158.49209725336462,-166.60492662800016,-150.37926787872908,-205.31007542020237,-111.67411908652687,1898-01-01
37,1899,-141.0,3.3162873,0.6683467,-164.9040961059042,-169.23463906578158,-156.64052882193894,-164.65849963641813,-148.62255800745976,-203.44216271596434,-109.83889492791354,1899-01-01
38,1900,-176.5,3.3162873,0.6683467,-165.00952631669188,-170.07916854427685,-154.78896039051327,-162.71240487824835,-146.86551590277818,-201.57449289489722,-108.00342788612933,1900-01-01
39,1901,-196.83333333333334,3.3162873,0.6683467,-163.96130699507583,-169.60823728242482,-152.9373919590876,-160.76665438712558,-145.1081295310496,-199.70706620785305,-106.16771771032214,1901-01-01
40,1902,-225.16666666666666,3.3162873,0.6683467,-161.66875986241845,-167.65889861837337,-151.08582352766192,-158.8212607378294,-143.35038631749444,-197.83988290223377,-104.33176415309006,1902-01-01
41,1903,-113.83333333333333,3.3162873,0.6683467,-158.18166052568225,-164.2350815819462,-149.23425509623627,-156.8762370738575,-141.59227311861503,-195.97294322197246,-102.49556697050008,1903-01-01
42,1904,-151.83333333333334,3.3162873,0.6683467,-153.6846200404361,-159.50714740418908,-147.38268666481062,-154.93159713643635,-139.8337761931849,-194.1062474075148,-100.65912592210645,1904-01-01
43,1905,-176.66666666666666,3.3162873,0.6683467,-148.47624688099742,-153.79265994085213,-145.53111823338494,-152.9873552950295,-138.0748811717404,-192.23979569580072,-98.82244077096917,1905-01-01
44,1906,-139.83333333333334,3.3162873,0.6683467,-142.93544141676003,-147.5205405541895,-143.67954980195927,-151.04352657940439,-136.31557302451415,-190.37358832024654,-96.98551128367198,1906-01-01
45,1907,-162.66666666666666,3.3162873,0.6683467,-137.4786274160916,-141.18265348185417,-141.8279813705336,-149.10012671331577,-134.5558360277514,-188.50762551072702,-95.14833723034016,1907-01-01
46,1908,-169.83333333333334,3.3162873,0.6683467,-132.5127480849944,-135.27828650931173,-139.97641293910792,-147.15717214986233,-132.7956537283535,-186.64190749355768,-93.31091838465815,1908-01-01
47,1909,-119.5,3.3162873,0.6683467,-128.3893322271685,-130.257793707004,-138.12484450768227,-145.21468010856955,-131.03500890679499,-184.77643449147763,-91.47325452388691,1909-01-01
48,1910,-110.33333333333333,3.3162873,0.6683467,-125.36481532183183,-126.47176157569403,-136.27327607625662,-143.2726686142467,-129.27388353826655,-182.91120672363223,-89.63534542888101,1910-01-01
49,1911,-132.33333333333334,3.3162873,0.6683467,-123.5715942898824,-124.13143648702165,-134.42170764483095,-141.33115653766038,-127.51225875200151,-181.04622440555642,-87.79719088410549,1911-01-01
50,1912,-70.16666666666667,3.3162873,0.6683467,-123.00308315060164,-123.28488018412581,-132.57013921340527,-139.39016363805808,-125.75011478875246,-179.1814877491579,-85.95879067765266,1912-01-01
51,1913,-98.83333333333333,3.3162873,0.6683467,-123.51445641626009,-123.81154479755878,-130.7185707819796,-137.4497106075655,-123.98743095639371,-177.31699696270093,-84.12014460125826,1913-01-01
52,1914,-86.5,3.3162873,0.6683467,-124.83899631372972,-125.43587972324411,-128.86700235055392,-135.5098191174687,-122.22418558363913,-175.45275225079004,-82.2812524503178,1914-01-01
53,1915,-124.33333333333333,3.3162873,0.6683467,-126.61819863541979,-127.75843448193119,-127.01543391912827,-133.57051186637713,-120.46035597187942,-173.58875381435428,-80.44211402390226,1915-01-01
