# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and 0 tide [mm relative to NAP(2005)]
# predicted_linear_without_wind -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind  -> fitted sea surface height based on linear model with wind and mean nodal tide   [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% prediction interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% prediction interval [mm relative to NAP(2005)]
index,year,height,u2,v2,predicted_linear_with_wind,predicted_linear_without_wind,predicted_linear_mean_wind,predicted_linear_mean_wind_ci_025,predicted_linear_mean_wind_ci_975,predicted_linear_mean_wind_pi_025,predicted_linear_mean_wind_pi_975,date
28,1890,-194.66666666666666,3.3570893,0.71686864,-164.38888867813654,-167.72006514416677,-173.80853833804514,-182.64133916830772,-164.97573750778255,-220.61752603418142,-126.99955064190885,1890-01-01
29,1891,-179.0,3.3570893,0.71686864,-160.93771192755224,-163.50056358059146,-171.9402001821968,-180.67781807742574,-163.20258228696787,-218.7313203345609,-125.14908002983269,1891-01-01
30,1892,-166.5,3.3570893,0.71686864,-158.72844443345411,-160.7645347210924,-170.07186202634853,-178.7145366570033,-161.42918739569376,-216.84534579013626,-123.2983782625608,1892-01-01
31,1893,-142.16666666666666,3.3570893,0.71686864,-157.7995687000885,-159.60204525498872,-168.20352387050025,-176.75150289317594,-159.65554484782456,-214.95960266248252,-121.44744507851797,1893-01-01
32,1894,-141.83333333333334,3.3570893,0.71686864,-158.04504261665284,-159.9255481270653,-166.3351857146519,-174.7887251086126,-157.88164632069123,-213.0740912101296,-119.59628021917422,1894-01-01
33,1895,-173.0,3.3570893,0.71686864,-159.22626899327122,-161.47976443844195,-164.46684755880364,-172.82621197906838,-156.1074831385389,-211.18881168854392,-117.74488342906335,1895-01-01
34,1896,-185.0,3.3570893,0.71686864,-160.99902729241904,-163.87049813104923,-162.5985094029553,-170.8639725508214,-154.33304625508922,-209.30376435010962,-115.89325445580099,1896-01-01
35,1897,-179.33333333333334,3.3570893,0.71686864,-162.95232762830307,-166.6091309893096,-160.73017124710702,-168.9020162590415,-152.55832623517256,-207.41894944411095,-114.0413930501031,1897-01-01
36,1898,-138.33333333333334,3.3570893,0.71686864,-164.65480137702826,-169.16777557198031,-158.86183309125875,-166.94035294713737,-150.78331323538012,-205.5343672167139,-112.1892989658036,1898-01-01
37,1899,-141.0,3.3570893,0.71686864,-165.70339204311614,-171.0388606699602,-156.9934949354104,-164.97899288713353,-149.0079969836873,-203.6500179109486,-110.33697195987222,1899-01-01
38,1900,-176.5,3.3570893,0.71686864,-165.76885038579212,-171.7924235631242,-155.12515677956213,-163.01794680112764,-147.23236675799663,-201.76590176669194,-108.48441179243233,1900-01-01
39,1901,-196.83333333333334,3.3570893,0.71686864,-164.63289852862545,-171.1246421950199,-153.25681862371385,-161.05722588388147,-145.45641136354624,-199.8820190206497,-106.63161822677802,1901-01-01
40,1902,-225.16666666666666,3.3570893,0.71686864,-162.21286814217962,-168.89212918123155,-151.38848046786558,-159.0968418265999,-143.68011910913125,-197.99836990633966,-104.77859102939149,1902-01-01
41,1903,-113.83333333333333,3.3570893,0.71686864,-158.57103165720417,-165.1281167046373,-149.52014231201724,-157.13680684195307,-141.9034777820814,-196.11495465407452,-102.92532996995996,1903-01-01
42,1904,-151.83333333333334,3.3570893,0.71686864,-153.9075732448003,-160.0387054225134,-147.65180415616896,-155.1771336903979,-140.12647462194002,-194.23177349094513,-101.0718348213928,1904-01-01
43,1905,-176.66666666666666,3.3570893,0.71686864,-148.53799296634202,-153.979600791253,-145.78346600032063,-153.2178357078544,-138.34909629278687,-192.34882664080365,-99.21810535983761,1905-01-01
44,1906,-139.83333333333334,3.3570893,0.71686864,-142.85749460670348,-147.41596270322538,-143.91512784447235,-151.25892683479435,-136.57132885415035,-190.46611432424746,-97.36414136469725,1906-01-01
