# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# surge -> sea surface height correction due to air pressure and wind [m]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and 0 tide [mm relative to NAP(2005)]
# predicted_linear_without_wind -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind  -> fitted sea surface height based on linear model with wind and mean nodal tide   [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% prediction interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% prediction interval [mm relative to NAP(2005)]
# sea_surface_height_due_to_tide  -> fitted nodal tide based on linear model with wind [mm relative to NAP(2005)]
index,year,height,u2,v2,surge,height-surge,predicted_linear_with_wind,predicted_linear_without_wind,predicted_linear_mean_wind,predicted_linear_mean_wind_ci_025,predicted_linear_mean_wind_ci_975,predicted_linear_mean_wind_pi_025,predicted_linear_mean_wind_pi_975,sea_surface_height_due_to_tide,date
0,1890,-194.66666666666666,3.3483374,0.7076815,0.04778568535266118,-194.66666666666666,-167.41119740231252,-168.33459129948443,-177.22743819754612,-185.90872237193722,-168.54615402315503,-224.83905724919072,-129.61581914590153,9.816240795233593,1890-01-01
1,1891,-179.0,3.3483374,0.7076815,0.04778568535266118,-179.0,-163.87797754043802,-164.47964642290515,-175.3091106079423,-183.897828735195,-166.7203924806896,-222.9039386134283,-127.71428260245631,11.431133067504256,1891-01-01
2,1892,-166.5,3.3483374,0.7076815,0.04778568535266118,-166.5,-161.63505035055664,-162.03819747318263,-173.39078301833848,-181.8871858216171,-164.89438021505987,-220.96903891741442,-125.81252711926254,11.755732667781828,1892-01-01
3,1893,-142.16666666666666,3.3483374,0.7076815,0.04778568535266118,-142.16666666666666,-160.71905511270268,-161.06634937911866,-171.47245542873466,-179.87680189321466,-163.06810896425466,-219.03435839000622,-123.9105524674631,10.753400316031971,1893-01-01
4,1894,-141.83333333333334,3.3483374,0.7076815,0.04778568535266118,-141.83333333333334,-161.01685325340952,-161.45432541949705,-169.55412783913084,-177.86668555428506,-161.24157012397663,-217.09989725734684,-122.00835842091485,8.5372745857213,1894-01-01
5,1895,-173.0,3.3483374,0.7076815,0.04778568535266118,-173.0,-162.2782988970978,-162.93885830436187,-167.63580024952702,-175.85684576781833,-159.41475473123572,-215.1656557428505,-120.10594475620354,5.357501352429196,1895-01-01
6,1896,-185.0,3.3483374,0.7076815,0.04778568535266118,-185.0,-164.14447415896223,-165.13290655160077,-165.7174726599232,-173.84729187274468,-157.58765344710173,-213.2316340671874,-118.203311252659,1.5729985009609564,1896-01-01
7,1897,-179.33333333333334,3.3483374,0.7076815,0.04778568535266118,-179.33333333333334,-166.18820211196066,-167.56934191365718,-163.79914507031938,-171.83803360206306,-155.7602565385757,-211.29783244826905,-116.30045769236973,-2.3890570416413066,1897-01-01
8,1898,-138.33333333333334,3.3483374,0.7076815,0.04778568535266118,-138.33333333333334,-167.96226451425647,-169.7536766226025,-161.88081748071556,-169.82908110189314,-153.932553859538,-209.36425110123344,-114.39738386019769,-6.081447033540927,1898-01-01
9,1899,-141.0,3.3483374,0.7076815,0.04778568535266118,-141.0,-169.04988170625214,-171.21987884951224,-159.96248989111174,-167.8204449514926,-152.1045348307309,-207.43089023843078,-112.4940895437927,-9.087391815140398,1899-01-01
