# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# surge -> sea surface height correction due to air pressure and wind [m]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and 0 tide [mm relative to NAP(2005)]
# predicted_linear_without_wind -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind  -> fitted sea surface height based on linear model with wind and mean nodal tide   [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% prediction interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% prediction interval [mm relative to NAP(2005)]
# sea_surface_height_due_to_tide  -> fitted nodal tide based on linear model with wind [mm relative to NAP(2005)]
index,t,year,height,u2,v2,surge,height-surge,predicted_linear_with_wind,predicted_linear_without_wind,predicted_linear_mean_wind,predicted_linear_mean_wind_ci_025,predicted_linear_mean_wind_ci_975,predicted_linear_mean_wind_pi_025,predicted_linear_mean_wind_pi_975,sea_surface_height_due_to_tide,date
28,1890-01-01,1890.0,-203.4,6.3112593,2.3649986,0.04513845848196298,-158.30667997651898,-129.47434679897023,-132.17268233519496,-139.78067817151396,-148.24985596827557,-131.31150037475234,-185.43891157732926,-94.12244476569865,10.306331372543749,1890-01-01
29,1891-01-01,1891.0,-189.4,6.3112593,2.3649986,0.04513845848196298,-144.30667997651898,-125.7980112294114,-127.94671543039556,-137.90651850737964,-146.28657429640327,-129.52646271835602,-183.54830462727088,-92.26473238748841,12.108507277968265,1891-01-01
30,1892-01-01,1892.0,-174.4,6.3112593,2.3649986,0.04513845848196298,-129.30667997651898,-123.48842715485097,-125.1810220989201,-136.03235884324533,-144.32351288298594,-127.74120480350474,-181.65790585911634,-90.40681182737433,12.543931688394348,1892-01-01
31,1893-01-01,1893.0,-154.0,6.3112593,2.3649986,0.04513845848196298,-108.90667997651899,-122.59474323996312,-123.97103574902016,-134.15819917911102,-142.3606788897738,-125.95571946844827,-179.76771549523284,-88.54868286298921,11.563455939147905,1893-01-01
32,1894-01-01,1894.0,-147.0,6.3112593,2.3649986,0.04513845848196298,-101.90667997651899,-123.00628798203246,-124.23658888339924,-132.2840395149767,-140.39807977285878,-124.16999925709463,-177.87773375544464,-86.69034527450879,9.277751532944272,1894-01-01
33,1895-01-01,1895.0,-182.0,6.3112593,2.3649986,0.04513845848196298,-136.906679976519,-124.46506179097014,-125.73096203020515,-130.4098798508424,-138.43572329678608,-122.38403640489872,-175.98796085701844,-84.83179884466637,5.944818059872273,1895-01-01
34,1896-01-01,1896.0,-197.6,6.3112593,2.3649986,0.04513845848196298,-152.50667997651897,-126.59485877264919,-128.0687322795388,-128.5357201867081,-136.4736175494001,-120.59782282401609,-174.09839701464898,-82.97304335876721,1.940861414058916,1896-01-01
35,1897-01-01,1897.0,-190.8,6.3112593,2.3649986,0.04513845848196298,-145.706679976519,-128.94373108527978,-130.76927801332909,-126.66156052257378,-134.5117709574626,-118.81135008768496,-172.20904244044476,-81.11407860470278,-2.282170562706005,1897-01-01
36,1898-01-01,1898.0,-153.0,6.3112593,2.3649986,0.04513845848196298,-107.90667997651899,-131.0350026914967,-133.31102921876465,-124.78740085843947,-132.55019230308176,-117.0246094137972,-170.3198973439141,-79.25490437296483,-6.247601833057199,1898-01-01
37,1899-01-01,1899.0,-151.0,6.3112593,2.3649986,0.04513845848196298,-105.90667997651899,-132.42107431315208,-135.19033986441735,-122.91324119430516,-130.58889074099204,-115.23759164761827,-168.43096193195086,-77.39552045665945,-9.50783311884691,1899-01-01
