# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# surge -> sea surface height correction due to air pressure and wind [m]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and 0 tide [mm relative to NAP(2005)]
# predicted_linear_without_wind -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind  -> fitted sea surface height based on linear model with wind and mean nodal tide   [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% prediction interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% prediction interval [mm relative to NAP(2005)]
# sea_surface_height_due_to_tide_linear  -> fitted nodal tide based on linear model  [mm relative to NAP(2005)]
# sea_surface_height_due_to_tide_broken_linear  -> fitted nodal tide based on broken linear model with wind [mm relative to NAP(2005)]
index,t,year,height,u2,v2,surge_mm,height - surge,height - surge anomaly,predicted_linear_with_wind,predicted_linear_without_wind,predicted_linear_mean_wind,predicted_linear_mean_wind_ci_025,predicted_linear_mean_wind_ci_975,predicted_linear_mean_wind_pi_025,predicted_linear_mean_wind_pi_975,sea_surface_height_due_to_tide_linear,sea_surface_height_due_to_tide_broken_linear,date
28,1890-01-01,1890.0,-203.4,6.3112593,2.3649986,45.138458481962985,-248.538458481963,-203.4,-172.79330067950653,-176.37247770507733,-183.79373499027594,-195.16421522077619,-172.4232547597757,-228.5410893542014,-139.04638062635047,10.818842918485537,10.174583263194075,1890-01-01
29,1891-01-01,1891.0,-189.4,6.3112593,2.3649986,45.138458481962985,-234.538458481963,-189.4,-169.17302618643774,-172.50509194665858,-181.93092432557015,-193.18258400735021,-170.67926464379008,-226.64823358600214,-137.21361506513816,12.772088467708421,12.299260420705938,1891-01-01
30,1892-01-01,1892.0,-174.4,6.3112593,2.3649986,45.138458481962985,-219.538458481963,-174.4,-166.99280338218645,-170.07935961477364,-180.06811366086433,-191.2012121001545,-168.93501522157416,-224.75573815308192,-135.38048916864673,13.283680590397482,13.035654763377272,1892-01-01
31,1893-01-01,1893.0,-154.0,6.3112593,2.3649986,45.138458481962985,-199.13845848196297,-154.0,-166.28846025993923,-169.15302682811935,-178.20530299615854,-189.22010787255948,-167.1904981197576,-222.86360377399498,-133.5470022183221,12.295873167855905,12.300645552569556,1893-01-01
32,1894-01-01,1894.0,-147.0,6.3112593,2.3649986,45.138458481962985,-192.13845848196297,-147.0,-166.9292344384037,-169.61459451909505,-176.34249233145275,-187.23928004221315,-165.44570462069234,-220.9718311604327,-131.71315350247278,9.920165267684357,10.177197179734833,1894-01-01
33,1895-01-01,1895.0,-182.0,6.3112593,2.3649986,45.138458481962985,-227.13845848196297,-182.0,-168.63253300594297,-171.19590392546027,-174.47968166674693,-185.25873768773056,-163.7006256457633,-219.08042101714364,-129.87894231635022,6.424715652123259,6.9049945351324045,1895-01-01
34,1896-01-01,1896.0,-197.6,6.3112593,2.3649986,45.138458481962985,-242.738458481963,-197.6,-170.99583028266846,-173.50240509336135,-172.61687100204114,-183.2784902662786,-161.95525173780368,-217.18937404185348,-128.0443679622288,2.204074275026325,2.8533885018876957,1896-01-01
35,1897-01-01,1897.0,-190.8,6.3112593,2.3649986,45.138458481962985,-235.93845848196298,-190.8,-173.54210303075436,-176.05769182510824,-170.75406033733532,-181.2985476321044,-160.20957304256623,-215.29869092518584,-126.2094297494848,-2.2653526659164127,-1.5202946389012935,1897-01-01
36,1898-01-01,1898.0,-153.0,6.3112593,2.3649986,45.138458481962985,-198.13845848196297,-153.0,-175.7736745995889,-178.35727617573053,-168.89124967262953,-179.31892005605965,-158.4635792891994,-213.4083723505833,-124.37412699467575,-6.479077225734596,-5.722374053247659,1898-01-01
37,1899-01-01,1899.0,-151.0,6.3112593,2.3649986,45.138458481962985,-196.13845848196297,-151.0,-177.22839033126732,-179.92553268542275,-167.02843900792374,-177.33961824617364,-156.71725976967383,-211.51841899422894,-122.53845902161854,-9.961473944622671,-9.278538730734008,1899-01-01
38,1900-01-01,1900.0,-189.4,6.3112593,2.3649986,45.138458481962985,-234.538458481963,-189.4,-177.53178341019765,-180.36938475007048,-165.16562834321792,-175.36065336933228,-154.97060331710355,-209.62883152496832,-120.70242516146752,-12.31946621846627,-11.787385486158591,1900-01-01
39,1901-01-01,1901.0,-210.2,6.3112593,2.3649986,45.138458481962985,-255.33845848196296,-210.2,-176.43934292044932,-179.42267326422115,-163.30281767851213,-173.3820370741207,-153.22359828290357,-207.73961060423227,-118.86602475279197,-13.286894941812779,-12.965727467915213,1901-01-01
40,1902-01-01,1902.0,-238.0,6.3112593,2.3649986,45.138458481962985,-283.13845848196297,-238.0,-173.86411309083164,-176.97619941223337,-161.44000701380634,-171.40378151489062,-151.47623251272205,-205.8507568859598,-117.02925714165288,-12.754561299020892,-12.680558961243673,1902-01-01
41,1903-01-01,1903.0,-129.4,6.3112593,2.3649986,45.138458481962985,-174.538458481963,-129.4,-169.88650845439608,-173.09005051828527,-159.57719634910052,-169.42589937711563,-149.7284933210854,-203.96227101652173,-115.19212168167931,-10.782552614268653,-10.964068449321303,1903-01-01
42,1904-01-01,1904.0,-155.4,6.3112593,2.3649986,45.138458481962985,-200.538458481963,-155.4,-164.74523703320702,-167.98681767111816,-157.71438568439473,-167.4484039040994,-147.98036746469006,-202.07415363464514,-113.35461773414431,-7.593459976297405,-8.010005328292877,1904-01-01
43,1905-01-01,1905.0,-172.8,6.3112593,2.3649986,45.138458481962985,-217.93845848196298,-172.8,-158.81035609669925,-162.02647068621596,-155.8515750196889,-165.47130892510344,-146.23184111427437,-200.18640537133797,-111.51674466803985,-3.547253200591039,-4.1518103844006005,1905-01-01
44,1906-01-01,1906.0,-144.8,6.3112593,2.3649986,45.138458481962985,-189.93845848196298,-144.8,-152.54150183321212,-155.6657264018161,-153.98876435498312,-163.49462888496424,-144.482899825002,-198.29902684981465,-109.67850186015158,0.899350874612947,0.1750214376438164,1906-01-01
45,1907-01-01,1907.0,-169.2,6.3112593,2.3649986,45.138458481962985,-214.33845848196296,-169.2,-146.43600777341297,-149.4064966248768,-152.12595369027733,-161.5183788752685,-142.73352850528616,-196.412018685422,-107.83988869513266,5.244440442356387,4.482097660912512,1907-01-01
46,1908-01-01,1908.0,-179.2,6.3112593,2.3649986,45.138458481962985,-224.33845848196296,-179.2,-140.972768114574,-143.73923468100494,-150.2631430255715,-159.5425746671588,-140.98371138398423,-194.52538148556596,-106.00090456557706,8.997562177032371,8.28325572778492,1908-01-01
47,1909-01-01,1909.0,-128.2,6.3112593,2.3649986,45.138458481962985,-173.33845848196296,-128.2,-136.55818239029608,-139.08757534400243,-148.40033236086572,-157.56723274584084,-139.2334319758906,-192.6391158496392,-104.16154887209223,11.735081304839026,11.149438748641215,1909-01-01
48,1910-01-01,1910.0,-119.2,6.3112593,2.3649986,45.138458481962985,-164.338458481963,-119.2,-133.4802829977612,-135.76051693006332,-146.5375216961599,-155.59237034686382,-137.48267304545598,-190.7532223689489,-102.32182102337087,13.147999509582267,12.75712543066096,1910-01-01
49,1911-01-01,1911.0,-148.0,6.3112593,2.3649986,45.138458481962985,-193.13845848196297,-148.0,-131.87622345203053,-133.91754301749435,-144.6747110314541,-153.61800549424487,-135.73141656866335,-188.86770162664584,-100.48172043626238,13.076833212955373,12.92484764357036,1911-01-01
50,1912-01-01,1912.0,-87.0,6.3112593,2.3649986,45.138458481962985,-132.13845848196297,-87.0,-131.71679714071374,-133.55062068860587,-142.81190036674832,-151.64415704050643,-133.9796436929902,-186.98255419765357,-98.64124653584307,11.529615332647987,11.633673690837714,1912-01-01
51,1913-01-01,1913.0,-109.6,6.3112593,2.3649986,45.138458481962985,-154.738458481963,-109.6,-132.8097340293545,-134.48510724777466,-140.9490897020425,-149.6708447086932,-132.2273346953918,-185.09778064859898,-96.80039875548601,8.680988564283345,9.029345230760649,1913-01-01
52,1914-01-01,1914.0,-95.8,6.3112593,2.3649986,45.138458481962985,-140.93845848196298,-95.8,-134.82140320089283,-136.399463069597,-139.0862790373367,-147.6980891364309,-130.47446893824252,-183.2133815377432,-94.95917653693022,4.852492533265127,5.405826641818296,1914-01-01
53,1915-01-01,1915.0,-133.2,6.3112593,2.3649986,45.138458481962985,-178.33845848196296,-133.2,-137.31447154836823,-138.86154548331524,-137.22346837263092,-145.72591192208282,-128.72102482317902,-181.32935741491343,-93.1175793303484,0.4762699103510095,1.1721237027496167,1915-01-01
54,1916-01-01,1916.0,-86.2,6.3112593,2.3649986,45.138458481962985,-131.338458481963,-86.2,-139.79726788430395,-141.37738701011432,-135.3606577079251,-143.75433567305475,-126.96697974279544,-179.4457088214355,-91.27560659441471,-3.953711825643916,-3.193883060917825,1916-01-01
55,1917-01-01,1917.0,-138.8,6.3112593,2.3649986,45.138458481962985,-183.93845848196298,-138.8,-141.7792804776949,-143.44695209470285,-133.4978470432193,-141.78338405628742,-125.21231003015122,-177.5624362900674,-89.4332577963712,-7.9374171194282805,-7.199379288633176,1917-01-01
56,1918-01-01,1918.0,-140.4,6.3112593,2.3649986,45.138458481962985,-185.538458481963,-140.4,-142.82652371698933,-144.62057877289968,-131.6350363785135,-139.81308185096418,-123.45699090606279,-175.67954034493357,-87.59053241209342,-11.025184006820986,-10.392243357824428,1918-01-01
57,1919-01-01,1919.0,-162.0,6.3112593,2.3649986,45.138458481962985,-207.13845848196297,-162.0,-142.61052436989578,-144.5497344045809,-129.7722257138077,-137.84345500344836,-121.70099642416704,-173.79702150145985,-85.74742992615555,-12.868479847698067,-12.41207975154509,1919-01-01
58,1920-01-01,1920.0,-162.0,6.3112593,2.3649986,45.138458481962985,-207.13845848196297,-162.0,-140.9453981008264,-143.02635640297103,-127.90941504910191,-135.8745306844437,-119.94429941376012,-171.91488026630972,-83.9039498318941,-13.259242055284066,-13.030898813647084,1920-01-01
59,1921-01-01,1921.0,-139.8,6.3112593,2.3649986,45.138458481962985,-184.93845848196298,-139.8,-137.80883122262946,-140.00633736332182,-126.04660438439609,-133.906337348353,-118.18687142043918,-170.03311713732109,-82.0600916314711,-12.153363224830708,-12.178851151563258,1921-01-01
60,1922-01-01,1922.0,-136.4,6.3112593,2.3649986,45.138458481962985,-181.538458481963,-136.4,-133.34459936091164,-135.61450369983206,-124.1837937196903,-131.93890479478054,-116.42868264460007,-168.1517326034441,-80.21585483593651,-9.675669770536825,-9.952111908044841,1922-01-01
61,1923-01-01,1923.0,-114.4,6.3112593,2.3649986,45.138458481962985,-159.538458481963,-114.4,-127.84633873593657,-130.1305258256307,-122.32098305498448,-129.9722642320943,-114.66970187787467,-166.27072714467988,-78.37123896528908,-6.105832105531345,-6.6020249622492635,1923-01-01
62,1924-01-01,1924.0,-138.6,6.3112593,2.3649986,45.138458481962985,-183.738458481963,-138.6,-121.72440188366298,-123.95735026860443,-120.45817239027869,-128.00644834292737,-112.90989643763002,-164.39010123202038,-76.526243548537,-1.8467967577009246,-2.506732411829773,1924-01-01
63,1925-01-01,1925.0,-89.2,6.3112593,2.3649986,45.138458481962985,-134.338458481963,-89.2,-115.45953898663717,-117.57571695773608,-118.5953617255729,-126.04149135145272,-111.14923209969308,-162.50985532738878,-74.68086812375704,2.6206963439715736,1.8715083330102589,1925-01-01
64,1926-01-01,1926.0,-108.2,6.3112593,2.3649986,45.138458481962985,-153.338458481963,-108.2,-109.5486330488055,-111.48989555529153,-116.73255106086708,-124.07742909221706,-109.3876730295171,-160.6299898835812,-72.83511223815296,6.792377537220249,6.038501997320602,1926-01-01
65,1927-01-01,1927.0,-102.0,6.3112593,2.3649986,45.138458481962985,-147.13845848196297,-102.0,-104.44861407313451,-106.17076586310279,-114.86974039616129,-122.11429908025941,-107.62518171206317,-158.75050534420959,-70.988975448113,10.197367020213123,9.523897885544503,1927-01-01
66,1928-01-01,1928.0,-89.2,6.3112593,2.3649986,45.138458481962985,-134.338458481963,-89.2,-100.52488294654293,-102.00266711964898,-113.0069297314555,-120.15214058217272,-105.86171888073828,-156.87140214364496,-69.14245731926606,12.451325554471065,11.93428086140352,1928-01-01
67,1929-01-01,1929.0,-144.4,6.3112593,2.3649986,45.138458481962985,-189.538458481963,-144.4,-98.01006670204922,-99.24001558992812,-111.14411906674968,-118.19099468769008,-104.09724344580928,-154.9926807069623,-67.29555742653707,13.299836874996073,12.997578202790237,1929-01-01
68,1930-01-01,1930.0,-90.6,6.3112593,2.3649986,45.138458481962985,-135.738458481963,-90.6,-96.97776067064385,-97.97858725104686,-109.28130840204389,-116.2309043812885,-102.33171242279928,-153.1143414498864,-65.44827535420137,12.647125004681465,12.593769894222433,1930-01-01
