# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# surge -> sea surface height correction due to air pressure and wind [m]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and 0 tide [mm relative to NAP(2005)]
# predicted_linear_without_wind -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind  -> fitted sea surface height based on linear model with wind and mean nodal tide   [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% prediction interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% prediction interval [mm relative to NAP(2005)]
# sea_surface_height_due_to_tide_linear  -> fitted nodal tide based on linear model  [mm relative to NAP(2005)]
# sea_surface_height_due_to_tide_broken_linear  -> fitted nodal tide based on broken linear model with wind [mm relative to NAP(2005)]
t,year,height,u2,v2,surge_mm,station,height - surge,height - surge anomaly,predicted_linear_with_wind,predicted_linear_without_wind,predicted_linear_mean_wind,predicted_linear_mean_wind_ci_025,predicted_linear_mean_wind_ci_975,predicted_linear_mean_wind_pi_025,predicted_linear_mean_wind_pi_975,sea_surface_height_due_to_tide_linear,sea_surface_height_due_to_tide_broken_linear,date
1890-01-01,1890.0,-203.4,6.343871,2.392497,44.512700279247234,10001,-247.91270027924725,-203.4,-172.84042272725378,-177.0709619142416,-183.82386705695933,-195.1497352329859,-172.49799888093276,-228.4004282443473,-139.24730586957136,10.2384155687657,9.366948313523572,1890-01-01
1891-01-01,1891.0,-189.4,6.343871,2.392497,44.512700279247234,10001,-233.91270027924725,-189.4,-169.2164401836951,-173.29513991301363,-181.95880638661063,-193.1673115923606,-170.75030118086067,-226.5056929927421,-137.41191978047917,12.095680297314727,11.329944349762632,1891-01-01
1892-01-01,1892.0,-174.4,6.343871,2.392497,44.512700279247234,10001,-218.91270027924725,-174.4,-167.03075615686114,-170.88462155738517,-180.0937457162619,-191.1851406642708,-169.00235076825302,-224.61131033119707,-135.57618110132674,12.587641380264273,12.014069421744786,1892-01-01
1893-01-01,1893.0,-154.0,6.343871,2.392497,44.512700279247234,10001,-198.51270027924724,-154.0,-166.31956110704138,-169.89493710638544,-178.2286850459132,-189.20323053886693,-167.2541395529595,-222.71728095687808,-133.74008913494833,11.658768558585141,11.342102700887885,1893-01-01
1894-01-01,1894.0,-147.0,6.343871,2.392497,44.512700279247234,10001,-191.51270027924724,-147.0,-166.95261209630112,-170.2212397536699,-176.36362437556448,-187.22158963614186,-165.5056591149871,-220.82360556035712,-131.90364319077185,9.413908638621782,9.389892638139433,1894-01-01
1895-01-01,1895.0,-182.0,6.343871,2.392497,44.512700279247234,10001,-226.51270027924724,-182.0,-168.64793400028668,-171.6101402431364,-174.4985637052158,-185.24022672179288,-163.7569006886387,-218.930284825536,-130.06684258489557,6.106450876476356,6.377795546673335,1895-01-01
1896-01-01,1896.0,-197.6,6.343871,2.392497,44.512700279247234,10001,-242.11270027924724,-197.6,-171.00364753738825,-173.6883082593892,-172.63350303486706,-183.25915092392756,-162.00785514580656,-217.03731942957018,-128.22968664016395,2.109725587544678,2.645802815050944,1896-01-01
1897-01-01,1897.0,-190.8,6.343871,2.392497,44.512700279247234,10001,-235.31270027924725,-190.8,-173.5433315166486,-176.00461220227766,-170.76844236451836,-181.27837175066043,-160.2585129783763,-215.14471004279324,-126.3921746862435,-2.125135628022665,-1.3848357256648711,1897-01-01
1898-01-01,1898.0,-153.0,6.343871,2.392497,44.512700279247234,10001,-197.51270027924724,-153.0,-175.76979902668904,-178.0810408054568,-168.90338169416964,-179.29789910864778,-158.5088642796915,-213.25245732864144,-124.55430605969784,-6.120121503880727,-5.259160506564555,1898-01-01
1899-01-01,1899.0,-151.0,6.343871,2.392497,44.512700279247234,10001,-195.51270027924724,-151.0,-177.22121756173482,-179.46665880556344,-167.03832102382094,-177.31774332261222,-156.75889872502967,-211.36056194357926,-122.71608010406263,-9.424296776666289,-8.539855922607476,1899-01-01
1900-01-01,1900.0,-189.4,6.343871,2.392497,44.512700279247234,10001,-233.91270027924725,-189.4,-177.5232385082,-179.78850639920108,-165.17326035347224,-175.33791515590826,-155.00860555103623,-209.46902453702478,-120.8774961699197,-11.664701642982822,-10.85661246647148,1900-01-01
1901-01-01,1901.0,-210.2,6.343871,2.392497,44.512700279247234,10001,-254.71270027924723,-210.2,-176.43125185994825,-178.7936971958225,-163.30819968312352,-173.35842583218528,-153.25797353406176,-207.57784575127607,-119.03855361497097,-12.588449712283126,-11.947925528448406,1901-01-01
1902-01-01,1902.0,-238.0,6.343871,2.392497,44.512700279247234,10001,-282.5127002792472,-238.0,-173.85799664820877,-176.37796284708918,-161.44313901277482,-171.37928705820391,-151.50699096734573,-205.68702622143786,-117.1992518041118,-12.09127263622873,-11.690612809950366,1902-01-01
1903-01-01,1903.0,-129.4,6.343871,2.392497,44.512700279247234,10001,-173.91270027924725,-129.4,-169.88341055034954,-172.59742236886143,-159.5780783424261,-169.40051104786548,-149.7556456369867,-203.7965665753485,-115.3595901095037,-10.229289430679865,-10.1137185634699,1903-01-01
1904-01-01,1904.0,-155.4,6.343871,2.392497,44.512700279247234,10001,-199.91270027924725,-155.4,-164.74560689988064,-167.66224768996784,-157.7130176720774,-167.42211054751567,-148.00392479663913,-201.90646743350806,-113.51956791064673,-7.212672024465176,-7.395235213618541,1904-01-01
1905-01-01,1905.0,-172.8,6.343871,2.392497,44.512700279247234,10001,-217.31270027924725,-172.8,-158.81399757046574,-161.91294043089175,-155.84795700172867,-165.44409886258546,-146.25181514087188,-200.01672940900642,-111.67918459445094,-3.3819220380679695,-3.8420124072803445,1905-01-01
1906-01-01,1906.0,-144.8,6.343871,2.392497,44.512700279247234,10001,-189.31270027924725,-144.8,-152.547595496703,-155.78189767829963,-153.98289633137998,-163.4664898856341,-144.49930277712585,-198.1273531074521,-109.83843955530784,0.8305634418452561,0.14487873495647996,1906-01-01
1907-01-01,1907.0,-169.2,6.343871,2.392497,44.512700279247234,10001,-213.71270027924723,-169.2,-146.44320344750673,-149.7446050304705,-152.11783566103128,-161.48929812586,-142.74637319620257,-196.23833912690193,-107.99733219516062,4.949298816995484,4.115416645283741,1907-01-01
1908-01-01,1908.0,-179.2,6.343871,2.392497,44.512700279247234,10001,-223.71270027924723,-179.2,-140.97933726028128,-144.26596601368226,-150.25277499068255,-159.51253874014708,-140.99301124121803,-194.34968805779087,-106.15586192357424,8.509380561104814,7.621425631990752,1908-01-01
1909-01-01,1909.0,-128.2,6.343871,2.392497,44.512700279247234,10001,-172.71270027924723,-128.2,-136.5622132181312,-139.7478259532404,-148.38771432033386,-157.5362275657143,-139.2392010749534,-192.46140048286298,-104.31402815780471,11.108963348867762,10.267163848947602,1909-01-01
1910-01-01,1910.0,-119.2,6.343871,2.392497,44.512700279247234,10001,-163.71270027924723,-119.2,-133.4798962615704,-136.48361355839728,-146.52265364998513,-155.56038115443596,-137.4849261455343,-190.57347697710262,-102.47183032286765,12.454618471032001,11.753992778590753,1910-01-01
1911-01-01,1911.0,-148.0,6.343871,2.392497,44.512700279247234,10001,-192.51270027924724,-148.0,-131.86978456948117,-134.6252200662599,-144.65759297963643,-153.58501680890055,-135.73016915037232,-188.6859181076665,-100.62926785160636,12.394454690490482,11.914086146735755,1911-01-01
1912-01-01,1912.0,-87.0,6.343871,2.392497,44.512700279247234,10001,-131.51270027924724,-87.0,-131.70310069727975,-134.16585447153653,-142.7925323092877,-151.61015262027408,-133.97491199830134,-186.7987244338164,-98.78634018475901,10.935263012534957,10.729373365057523,1912-01-01
1913-01-01,1913.0,-109.6,6.343871,2.392497,44.512700279247234,10001,-154.11270027924724,-109.6,-132.78813983985262,-134.9408100633543,-140.927471638939,-149.63580750803172,-132.2191357698463,-184.91189650685263,-96.9430467710254,8.241750148038314,8.333579254323041,1913-01-01
1914-01-01,1914.0,-95.8,6.343871,2.392497,44.512700279247234,10001,-140.31270027924722,-95.8,-134.79190857058296,-136.6460557460679,-139.0624109685903,-147.66200126161792,-130.4628206755627,-183.02543487004806,-95.09938706713257,4.617947192645781,4.997129813987534,1914-01-01
1915-01-01,1915.0,-133.2,6.343871,2.392497,44.512700279247234,10001,-177.71270027924723,-133.2,-137.27771157712286,-138.87255364298767,-137.1973502982416,-145.68875458409107,-128.7059460123921,-181.13934005858306,-93.25536053790013,0.47289202304712985,1.096627804067729,1915-01-01
1916-01-01,1916.0,-86.2,6.343871,2.392497,44.512700279247234,10001,-130.71270027924723,-86.2,-139.7544437795142,-141.15242937291657,-135.3322896278929,-143.716089137802,-126.94849011798378,-179.2536125994811,-91.41096665630468,-3.725540979560675,-2.9276564075933678,1916-01-01
1917-01-01,1917.0,-138.8,6.343871,2.392497,44.512700279247234,10001,-183.31270027924725,-138.8,-141.7320239676156,-143.01178351528714,-133.46722895754417,-141.74402759214692,-125.19043032294141,-177.36825301154516,-89.56620490354318,-7.503452394610134,-6.621480498938801,1917-01-01
1918-01-01,1918.0,-140.4,6.343871,2.392497,44.512700279247234,10001,-184.91270027924725,-140.4,-142.77671286890876,-144.02418315347674,-131.60216828719547,-139.77259367342674,-123.43174290096418,-175.48326180529486,-87.72107476909608,-10.434409305478653,-9.567902935953642,1918-01-01
1919-01-01,1919.0,-162.0,6.343871,2.392497,44.512700279247234,10001,-206.51270027924724,-162.0,-142.5600716027111,-143.85879562184428,-129.73710761684674,-137.80181221682955,-121.67240301686394,-173.59863948290445,-85.87557575078904,-12.187579046525089,-11.434345376961195,1919-01-01
1920-01-01,1920.0,-162.0,6.343871,2.392497,44.512700279247234,10001,-206.51270027924724,-162.0,-140.8960343201705,-142.31773134494046,-127.87204694649806,-135.83170922053932,-119.9123846724568,-171.71438653814175,-84.02970735485438,-12.565072042300164,-12.01013255555455,1920-01-01
1921-01-01,1921.0,-139.8,6.343871,2.392497,44.512700279247234,10001,-184.31270027924725,-139.8,-137.76191044436365,-139.35838068439426,-126.00698627614933,-133.86231190195303,-118.15166065034563,-169.8305034563075,-82.18346909599116,-11.52427865443289,-11.230272316294782,1921-01-01
1922-01-01,1922.0,-136.4,6.343871,2.392497,44.512700279247234,10001,-180.91270027924725,-136.4,-133.30094587616753,-135.09822351499102,-124.14192560580064,-131.89364875596678,-116.39020245563451,-167.9469907141763,-80.33686049742496,-9.18267875770852,-9.182791624308916,1922-01-01
1923-01-01,1923.0,-114.4,6.343871,2.392497,44.512700279247234,10001,-158.91270027924725,-114.4,-127.80615406900021,-129.80156864755818,-122.27686493545194,-129.92574961526216,-114.62798025564172,-166.0638487799376,-78.48988109096629,-5.804581162954578,-6.098800494441134,1923-01-01
1924-01-01,1924.0,-138.6,6.343871,2.392497,44.512700279247234,10001,-183.11270027924724,-138.6,-121.68724204485896,-123.84971989039269,-120.41180426510321,-127.95864571249365,-112.86496281771278,-164.181078113138,-76.64253041706843,-1.7712896784679848,-2.326405377019779,1924-01-01
1925-01-01,1925.0,-89.2,6.343871,2.392497,44.512700279247234,10001,-133.71270027924723,-89.2,-115.4243645878001,-117.69793626425071,-118.54674359475452,-125.99236974423754,-111.1011174452715,-162.29867916462476,-74.79480802488428,2.461936674995073,1.7085834651292586,1925-01-01
1926-01-01,1926.0,-108.2,6.343871,2.392497,44.512700279247234,10001,-152.71270027924723,-108.2,-109.51392662454005,-111.82404449991265,-116.68168292440579,-124.02695593651917,-109.33640991229241,-160.41665237648948,-72.94671347232212,6.417271166654245,5.550715421480033,1926-01-01
1927-01-01,1927.0,-102.0,6.343871,2.392497,44.512700279247234,10001,-146.51270027924724,-102.0,-104.41255136519,-106.67450419851622,-114.8166222540571,-122.06244011168351,-107.57080439643067,-158.5349981820134,-71.09824632610079,9.648254195371786,8.766308661995614,1927-01-01
1928-01-01,1928.0,-89.2,6.343871,2.392497,44.512700279247234,10001,-133.71270027924723,-89.2,-100.48553881752623,-102.61401356632571,-112.95156158370837,-120.09885975631283,-105.8042634111039,-156.6537170056132,-69.24940616180353,11.790187554883392,10.992402107503406,1928-01-01
1929-01-01,1929.0,-144.4,6.343871,2.392497,44.512700279247234,10001,-188.91270027924725,-144.4,-97.96563243590204,-99.88434399217505,-111.08650091335967,-118.13625408982855,-104.03674773689079,-154.77280926278814,-67.4001925639312,12.601299856355165,11.977724773495666,1929-01-01
