# Sea surface height for the Netherlands  for the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and 0 tide [mm relative to NAP(2005)]
t,year,height,interpolated,flags,station,alpha,u,v,speed,direction,u2main,u2perp,u2,v2,predicted_linear_with_wind
1890-01-01,1890,-252.0,N,0,20,118,,,,,14.088951154746882,15.704122648276932,3.3570893,0.71686864,-237.57136738449637
1891-01-01,1891,-280.0,N,0,20,118,,,,,14.088951154746882,15.704122648276932,3.3570893,0.71686864,-233.5432071605952
1892-01-01,1892,-279.0,N,0,20,118,,,,,14.088951154746882,15.704122648276932,3.3570893,0.71686864,-230.97313968096077
1893-01-01,1893,-253.0,N,0,20,118,,,,,14.088951154746882,15.704122648276932,3.3570893,0.71686864,-229.90952738704658
1894-01-01,1894,-204.0,N,0,20,118,,,,,14.088951154746882,15.704122648276932,3.3570893,0.71686864,-230.23069112641122
1895-01-01,1895,-220.0,N,0,20,118,,,,,14.088951154746882,15.704122648276932,3.3570893,0.71686864,-231.65864472459378
1896-01-01,1896,-240.0,N,0,20,118,,,,,14.088951154746882,15.704122648276932,3.3570893,0.71686864,-233.79047276032685
1897-01-01,1897,-261.0,N,0,20,118,,,,,14.088951154746882,15.704122648276932,3.3570893,0.71686864,-236.14380976802883
1898-01-01,1898,-229.0,N,0,20,118,,,,,14.088951154746882,15.704122648276932,3.3570893,0.71686864,-238.21128738856177
1899-01-01,1899,-221.0,N,0,20,118,,,,,14.088951154746882,15.704122648276932,3.3570893,0.71686864,-239.51780372931475
1900-01-01,1900,-275.0,N,0,20,118,,,,,14.088951154746882,15.704122648276932,3.3570893,0.71686864,-239.67415063692127
1901-01-01,1901,-308.0,N,0,20,118,,,,,14.088951154746882,15.704122648276932,3.3570893,0.71686864,-238.4209456876583
1902-01-01,1902,-323.0,N,0,20,118,,,,,14.088951154746882,15.704122648276932,3.3570893,0.71686864,-235.65791005855445
