# Sea surface height for the Netherlands  for the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and 0 tide [mm relative to NAP(2005)]
t,year,height,interpolated,flags,station,alpha,u,v,speed,direction,u2,v2,surge,height-surge,predicted_linear_with_wind,index
1890-01-01,1890.0,-252.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-223.42774182813807,-207.6200739477439,
1891-01-01,1891.0,-280.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-251.42774182813807,-203.14952487772376,
1892-01-01,1892.0,-279.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-250.42774182813807,-200.2594421101182,
1893-01-01,1893.0,-253.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-224.42774182813807,-199.0381294272954,
1894-01-01,1894.0,-204.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-175.42774182813807,-199.38552767341616,
1895-01-01,1895.0,-220.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-191.42774182813807,-201.0245089625216,
1896-01-01,1896.0,-240.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-211.42774182813807,-203.53215757416675,
1897-01-01,1897.0,-261.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-232.42774182813807,-206.38750669585355,
1898-01-01,1898.0,-229.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-200.42774182813807,-209.0303427127323,
1899-01-01,1899.0,-221.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-192.42774182813807,-210.92443949222823,
1900-01-01,1900.0,-275.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-246.42774182813807,-211.61808507420423,
1901-01-01,1901.0,-308.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-279.4277418281381,-210.79506879783463,
1902-01-01,1902.0,-323.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-294.4277418281381,-208.31037367751,
1903-01-01,1903.0,-178.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-149.42774182813807,-204.20654523983228,
1904-01-01,1904.0,-191.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-162.42774182813807,-198.708889184172,
1905-01-01,1905.0,-220.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-191.42774182813807,-192.20003993233573,
1906-01-01,1906.0,-212.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-183.42774182813807,-185.1767706501452,
1907-01-01,1907.0,-202.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-173.42774182813807,-178.193919823069,
1908-01-01,1908.0,-204.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-175.42774182813807,-171.80176369098396,
1909-01-01,1909.0,-178.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-149.42774182813807,-166.48390364781505,
1910-01-01,1910.0,-171.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-142.42774182813807,-162.602679584984,
1911-01-01,1911.0,-209.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-180.42774182813807,-160.35827066436747,
1912-01-01,1912.0,-154.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-125.42774182813808,-159.7661000336366,
1913-01-01,1913.0,-160.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-131.42774182813807,-160.65509393370476,
1914-01-01,1914.0,-184.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-155.42774182813807,-162.6869917020681,
1915-01-01,1915.0,-213.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-184.42774182813807,-165.3945270494536,
1916-01-01,1916.0,-168.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-139.42774182813807,-168.234170886393,
1917-01-01,1917.0,-182.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-153.42774182813807,-170.64748233689818,
1918-01-01,1918.0,-221.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-192.42774182813807,-172.1241429246419,
1919-01-01,1919.0,-248.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-219.42774182813807,-172.25955892842836,
1920-01-01,1920.0,-271.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-242.42774182813807,-170.8005300233078,
1921-01-01,1921.0,-203.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-174.42774182813807,-167.6738293453786,
1922-01-01,1922.0,-192.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-163.42774182813807,-162.99446899664363,
1923-01-01,1923.0,-171.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-142.42774182813807,-157.05271801851066,
1924-01-01,1924.0,-189.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-160.42774182813807,-150.2813381841827,
1925-01-01,1925.0,-152.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-123.42774182813808,-143.20673587998223,
1926-01-01,1926.0,-167.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-138.42774182813807,-136.38954382207572,
1927-01-01,1927.0,-155.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-126.42774182813808,-130.3613394656572,
1928-01-01,1928.0,-152.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-123.42774182813808,-125.56464303567829,
1929-01-01,1929.0,-203.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-174.42774182813807,-122.30296791992033,
1930-01-01,1930.0,-133.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-104.42774182813808,-120.70656150170169,
1931-01-01,1931.0,-133.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-104.42774182813808,-120.71770344629842,
1932-01-01,1932.0,-152.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-123.42774182813808,-122.09722090153583,
1933-01-01,1933.0,-166.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-137.42774182813807,-124.4514852072726,
1934-01-01,1934.0,-162.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-133.42774182813807,-127.27684285186581,
1935-01-01,1935.0,-134.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-105.42774182813808,-130.0164655176964,
1936-01-01,1936.0,-111.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-82.42774182813808,-132.12320224932614,
1937-01-01,1937.0,-111.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-82.42774182813808,-133.1213392864124,
1938-01-01,1938.0,-136.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-107.42774182813808,-132.66029640118498,
1939-01-01,1939.0,-134.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-105.42774182813808,-130.55419874982496,
1940-01-01,1940.0,-135.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-106.42774182813808,-126.80285755281116,
1941-01-01,1941.0,-161.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-132.42774182813807,-121.5917914034667,
1942-01-01,1942.0,-149.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-120.42774182813808,-115.27128579949732,
1943-01-01,1943.0,-116.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-87.42774182813808,-108.31685455935957,
1944-01-01,1944.0,-128.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-99.42774182813808,-101.27556605328596,
1945-01-01,1945.0,-110.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-81.42774182813808,-94.70429269220064,
1946-01-01,1946.0,-104.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-75.42774182813808,-89.10685378251738,
1947-01-01,1947.0,-136.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,0.02860085903089281,-107.42774182813808,-84.8771467664778,
1948-01-01,1948.0,-119.0,N,0.0,20.0,118.0,1.6908302,1.6606774,2.3699696,0.7764016,4.387522,5.4108086,0.02860085903089281,-90.42774182813808,-82.25468592682414,
1949-01-01,1949.0,-106.0,N,0.0,20.0,118.0,2.3029177,0.56715775,2.371729,0.24147245,8.470212,1.892796,0.02860085903089281,-77.42774182813808,-81.29756713823416,
1950-01-01,1950.0,-84.0,N,0.0,20.0,118.0,1.9535795,1.1301304,2.2569156,0.5244548,5.701431,2.4221733,0.02860085903089281,-55.42774182813808,-81.87591027754189,
1951-01-01,1951.0,-82.0,N,0.0,20.0,118.0,1.2349147,1.3340315,1.8178707,0.8239617,3.2752788,4.516599,0.02860085903089281,-53.42774182813808,-83.68651948271344,
1952-01-01,1952.0,-54.0,N,0.0,20.0,118.0,1.8547252,-0.19691782,1.8651494,6.177411,5.917683,-0.6884091,0.02860085903089281,-25.42774182813808,-86.28710647932326,
1953-01-01,1953.0,-104.0,N,0.0,20.0,118.0,1.7142906,0.26263824,1.7342926,0.15202314,5.0347652,1.0267215,0.02860085903089281,-75.42774182813808,-89.14621400599493,
1954-01-01,1954.0,-85.0,N,0.0,20.0,118.0,2.234173,1.1717563,2.5228045,0.48303127,10.093402,3.14278,0.02860085903089281,-56.42774182813808,-91.70320421675652,
1955-01-01,1955.0,-86.0,N,0.0,20.0,118.0,1.3086976,-0.47786716,1.3932145,5.9330807,4.944992,-1.8953387,0.02860085903089281,-57.42774182813808,-93.43154085088571,
1956-01-01,1956.0,-148.0,N,0.0,20.0,118.0,1.4128402,0.01031522,1.4128779,0.007300922,3.6171987,0.18946528,0.02860085903089281,-119.42774182813808,-93.89822217579798,
1957-01-01,1957.0,-112.0,N,0.0,20.0,118.0,1.501584,0.4303595,1.5620384,0.27912173,4.207589,0.55456275,0.02860085903089281,-83.42774182813808,-92.81265619121187,
