# Sea surface height for the Netherlands  for the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and 0 tide [mm relative to NAP(2005)]
t,year,height,interpolated,flags,station,alpha,u,v,speed,direction,u2,v2,surge_mm,height - surge,height - surge anomaly,predicted_linear_with_wind,index
1890-01-01,1890.0,-252.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,28.600859030892803,-280.6008590308928,-252.0,-235.71680309758258,
1891-01-01,1891.0,-280.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,28.600859030892803,-308.6008590308928,-280.0,-231.4392048670102,
1892-01-01,1892.0,-279.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,28.600859030892803,-307.6008590308928,-279.0,-228.69000013451566,
1893-01-01,1893.0,-253.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,28.600859030892803,-281.6008590308928,-253.0,-227.54398230814257,
1894-01-01,1894.0,-204.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,28.600859030892803,-232.6008590308928,-204.0,-227.89498457925342,
1895-01-01,1895.0,-220.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,28.600859030892803,-248.6008590308928,-220.0,-229.46786353381194,
1896-01-01,1896.0,-240.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,28.600859030892803,-268.6008590308928,-240.0,-231.84955605013587,
1897-01-01,1897.0,-261.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,28.600859030892803,-289.6008590308928,-261.0,-234.53570392620486,
1898-01-01,1898.0,-229.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,28.600859030892803,-257.6008590308928,-229.0,-236.9875834673295,
1899-01-01,1899.0,-221.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,28.600859030892803,-249.6008590308928,-221.0,-238.6929140894093,
1900-01-01,1900.0,-275.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,28.600859030892803,-303.6008590308928,-275.0,-239.22368214792354,
1901-01-01,1901.0,-308.0,N,0.0,20.0,118.0,1.7207077,0.6312239,1.8328334,0.35159734,6.3112593,2.3649986,28.600859030892803,-336.6008590308928,-308.0,-238.2844531101172,
