Year,Steric [mean],Glaciers [mean],Greenland Ice Sheet [mean],Antarctic Ice Sheet [mean],Terrestrial Water Storage [mean],GIA [mean]
1958,-27.65681229154948,-15.61892032623291,6.127925395965576,-6.428970336914062,7.421231746673584,-32.42685659685674
1959,-29.95796107336936,-15.33153915405273,6.060762882232666,-6.373543739318848,6.069262981414795,-31.80326320076346
1960,-25.56601681975041,-15.04382133483887,5.815054893493652,-6.318108081817627,5.702492713928223,-31.17966980467005
1961,-28.85706701035027,-14.73415470123291,5.570697784423828,-6.262703418731689,5.371933937072754,-30.55607640857655
1962,-34.21635469891469,-14.31864356994629,5.262309551239014,-6.207267761230469,5.026333808898926,-29.93248301248336
1963,-33.81287384385791,-14.06350898742676,5.176175117492676,-6.151847362518311,5.262704372406006,-29.30888961638985
1964,-25.54346910448745,-14.08355236053467,5.164364814758301,-6.096435546875,4.641203880310059,-28.68529622029652
1965,-27.30931232048509,-13.96285057067871,5.008790016174316,-6.041003227233887,4.301263809204102,-28.06170282420305
1966,-27.97315806308391,-13.80495643615723,4.747250080108643,-5.985575199127197,4.463746547698975,-27.43810942810971
1967,-31.99577626542623,-13.54529190063477,4.615468502044678,-5.930147647857666,3.437981843948364,-26.8145160320163
1968,-37.35226335568028,-13.31227588653564,4.415059089660645,-5.874726295471191,2.858102798461914,-26.19092263592284
1969,-33.37544214024363,-13.08427333831787,4.268729686737061,-5.81930685043335,3.854465007781982,-25.56732923982943
1970,-29.54493734716463,-12.90071487426758,4.214000701904297,-5.7638840675354,3.589769840240479,-24.94373584373604
1971,-27.31177921916842,-12.67909240722656,4.040109157562256,-5.708460807800293,1.959105968475342,-24.3201424476426
1972,-30.50583058893745,-12.65627861022949,4.148229598999023,-5.653033256530762,1.587477207183838,-23.69654905154923
1973,-30.40474970748489,-12.4714412689209,4.16586446762085,-5.597623825073242,-0.3346047103404999,-23.07295565545581
1974,-31.13094503364319,-12.29471778869629,4.079744338989258,-5.542191505432129,-4.810774326324463,-22.44936225936236
1975,-26.71736559058223,-12.08095932006836,4.059243679046631,-5.486766338348389,-3.099072933197021,-21.82576886326911
1976,-23.78695478411208,-12.00628089904785,4.122661590576172,-5.431342124938965,-3.038064002990723,-21.20217546717555
1977,-22.1817001821819,-11.58766174316406,4.121110439300537,-5.375914096832275,-1.547657608985901,-20.57858207108223
1978,-23.19796360049837,-11.17186737060547,4.093691825866699,-5.320496559143066,-3.674413204193115,-19.95498867498887
1979,-27.21805609113646,-10.70979595184326,4.054696083068848,-5.265072822570801,-3.645943164825439,-19.33139527889547
1980,-20.97150851813874,-10.42794418334961,3.951322793960571,-5.209644317626953,-2.116809129714966,-18.70780188280206
1981,-20.36555823859679,-10.14793491363525,3.762538433074951,-5.154229640960693,-2.371740579605103,-18.08420848670863
1982,-22.07193673607738,-9.782400131225586,3.623867034912109,-5.098806381225586,-2.89365291595459,-17.46061509061521
1983,-26.73104203510485,-9.589190483093262,3.707277774810791,-5.04339075088501,-2.475059270858765,-16.83702169452182
1984,-24.44059812373275,-9.286208152770996,3.755499124526978,-4.987960338592529,-3.762578964233398,-16.21342829842837
1985,-23.90476622917424,-9.016059875488281,3.67962121963501,-4.932547092437744,-4.576700687408447,-15.58983490233502
1986,-23.31153602803162,-8.788378715515137,3.617167949676514,-4.877118587493896,-4.548233032226562,-14.96624150624168
1987,-20.09345573748687,-8.56931209564209,3.617661952972412,-4.821690082550049,-1.347869873046875,-14.34264811014826
1988,-18.43412411119615,-8.39285659790039,3.520415306091309,-4.76625919342041,-1.622342944145203,-13.71905471405486
1989,-22.74226528320897,-7.930114269256592,3.390158176422119,-4.710840225219727,-4.082771301269531,-13.09546131796142
1990,-24.65849007112235,-7.389846801757812,3.315140962600708,-4.655421733856201,-3.694530963897705,-12.47186792186802
1991,-26.5576082181607,-7.005332946777344,3.248790979385376,-4.600005149841309,-2.943597793579102,-11.84827452577461
1992,-29.62222832005069,-6.883045673370361,3.335268259048462,-4.761440753936768,-1.429726719856262,-11.22468112968118
1993,-25.0692499202411,-6.43619441986084,3.302587270736694,-4.728897094726562,-3.295569181442261,-10.60108773358777
1994,-26.35211100672599,-5.912556171417236,3.216415643692017,-4.384907245635986,-3.252983570098877,-9.977494337494434
1995,-24.22674891247757,-5.365596771240234,3.025075197219849,-4.133617401123047,-2.143037796020508,-9.353900941401028
1996,-20.48380610312153,-5.149232864379883,3.158972501754761,-4.007998466491699,-2.508427858352661,-8.730307545307607
1997,-21.09537618780665,-4.576691627502441,3.149446725845337,-3.851217985153198,-3.157256126403809,-8.106714149214184
1998,-14.63557762114472,-4.15564489364624,3.016568660736084,-3.674072504043579,-1.384785056114197,-7.483120753120839
1999,-10.23642827190916,-3.814285516738892,2.916934967041016,-3.377537727355957,-2.473911762237549,-6.859527357027428
2000,-13.22292805605936,-3.610576391220093,2.814326286315918,-3.149062156677246,-4.423867225646973,-6.23593396093401
2001,-7.892244663477908,-3.362147331237793,2.711448907852173,-2.989291191101074,-2.242237091064453,-5.612340564840591
2002,-5.975537301602758,-3.086115598678589,2.48083233833313,-2.879118919372559,-0.06752582639455795,-4.988747168747217
2003,-4.262376290289558,-2.632779836654663,2.23146653175354,-2.560451030731201,0.6907852292060852,-4.365153772653803
2004,-5.03137727383299,-2.086559534072876,1.954775214195251,-2.054722309112549,-0.5691120028495789,-3.74156037656042
2005,-3.876289813000631,-1.780784845352173,1.584073781967163,-2.123752593994141,1.253899574279785,-3.117966980467005
2006,0.2641019072563874,-1.25457227230072,1.212271571159363,-2.398908615112305,0.1532286703586578,-2.494373584373609
2007,1.54069851148921,-0.9502822160720825,0.8397698402404785,-1.779757738113403,-0.9124630093574524,-1.87078018828021
2008,1.337998227689375,-0.6641159057617188,0.6143594980239868,-0.9377532601356506,-1.216661810874939,-1.247186792186804
2009,-0.5477476306231412,-0.3283512890338898,0.5176047682762146,-1.033746242523193,-0.5243316292762756,-0.6235933960934021
2010,2.469505548022126,0.1472271233797073,0.08049708604812622,-0.1628822237253189,0.03188445046544075,0.0
2011,0.05040040841862634,0.3360006511211395,-0.5257261991500854,0.1326334178447723,-3.319267988204956,0.6235933960934021
2012,1.190074111450894,0.3767288625240326,-0.9588713049888611,0.443754106760025,-0.01520396675914526,1.247186792186804
2013,4.774383431744056,0.7617048025131226,-1.382421255111694,1.175682783126831,0.2949292361736298,1.87078018828021
2014,1.687151703164004,1.178300857543945,-1.458345770835876,1.897759079933167,-1.601791262626648,2.494373584373609
2015,-3.326730140771119,1.86280083656311,-1.558061003684998,2.882942914962769,2.023855447769165,3.117966980467005
2016,-1.386824728210323,2.316292285919189,-1.732789397239685,2.635024785995483,3.744245529174805,3.74156037656042
2017,5.669180856294564,2.836158037185669,-1.958950996398926,2.785035610198975,0.336457759141922,4.365153772653803
2018,5.4233884728013,2.968355178833008,-1.940484642982483,3.978263378143311,-0.3029313981533051,4.988747168747217
