,Year,Sea level contribution (mm),Sea level contribution uncertainty (mm),location
0,1980.0,,,Greenland
1,1980.08333333333,,,Greenland
2,1980.16666666667,,,Greenland
3,1980.25,,,Greenland
4,1980.33333333333,,,Greenland
5,1980.41666666667,,,Greenland
6,1980.5,,,Greenland
7,1980.58333333333,,,Greenland
8,1980.66666666667,,,Greenland
9,1980.75,,,Greenland
10,1980.83333333333,,,Greenland
11,1980.91666666667,,,Greenland
12,1981.0,,,Greenland
13,1981.08333333333,,,Greenland
14,1981.16666666667,,,Greenland
15,1981.25,,,Greenland
16,1981.33333333333,,,Greenland
17,1981.41666666667,,,Greenland
18,1981.5,,,Greenland
19,1981.58333333333,,,Greenland
20,1981.66666666667,,,Greenland
21,1981.75,,,Greenland
22,1981.83333333333,,,Greenland
23,1981.91666666667,,,Greenland
24,1982.0,,,Greenland
25,1982.08333333333,,,Greenland
26,1982.16666666667,,,Greenland
27,1982.25,,,Greenland
28,1982.33333333333,,,Greenland
29,1982.41666666667,,,Greenland
30,1982.5,,,Greenland
31,1982.58333333333,,,Greenland
32,1982.66666666667,,,Greenland
33,1982.75,,,Greenland
34,1982.83333333333,,,Greenland
35,1982.91666666667,,,Greenland
36,1983.0,,,Greenland
37,1983.08333333333,,,Greenland
38,1983.16666666667,,,Greenland
39,1983.25,,,Greenland
40,1983.33333333333,,,Greenland
41,1983.41666666667,,,Greenland
42,1983.5,,,Greenland
43,1983.58333333333,,,Greenland
44,1983.66666666667,,,Greenland
45,1983.75,,,Greenland
46,1983.83333333333,,,Greenland
47,1983.91666666667,,,Greenland
48,1984.0,,,Greenland
49,1984.08333333333,,,Greenland
50,1984.16666666667,,,Greenland
51,1984.25,,,Greenland
52,1984.33333333333,,,Greenland
53,1984.41666666667,,,Greenland
54,1984.5,,,Greenland
55,1984.58333333333,,,Greenland
56,1984.66666666667,,,Greenland
57,1984.75,,,Greenland
58,1984.83333333333,,,Greenland
59,1984.91666666667,,,Greenland
60,1985.0,,,Greenland
61,1985.08333333333,,,Greenland
62,1985.16666666667,,,Greenland
63,1985.25,,,Greenland
64,1985.33333333333,,,Greenland
65,1985.41666666667,,,Greenland
66,1985.5,,,Greenland
67,1985.58333333333,,,Greenland
68,1985.66666666667,,,Greenland
69,1985.75,,,Greenland
70,1985.83333333333,,,Greenland
71,1985.91666666667,,,Greenland
72,1986.0,,,Greenland
73,1986.08333333333,,,Greenland
74,1986.16666666667,,,Greenland
75,1986.25,,,Greenland
76,1986.33333333333,,,Greenland
77,1986.41666666667,,,Greenland
78,1986.5,,,Greenland
79,1986.58333333333,,,Greenland
80,1986.66666666667,,,Greenland
81,1986.75,,,Greenland
82,1986.83333333333,,,Greenland
83,1986.91666666667,,,Greenland
84,1987.0,,,Greenland
85,1987.08333333333,,,Greenland
86,1987.16666666667,,,Greenland
87,1987.25,,,Greenland
88,1987.33333333333,,,Greenland
89,1987.41666666667,,,Greenland
90,1987.5,,,Greenland
91,1987.58333333333,,,Greenland
92,1987.66666666667,,,Greenland
93,1987.75,,,Greenland
94,1987.83333333333,,,Greenland
95,1987.91666666667,,,Greenland
96,1988.0,,,Greenland
97,1988.08333333333,,,Greenland
98,1988.16666666667,,,Greenland
99,1988.25,,,Greenland
100,1988.33333333333,,,Greenland
