year,low_05,low_95,high_05,high_95,comment
1995,0.2,0.8,-0.1,0.5,KNMI14 scenarios; Created as 3rd order polynomial fit through the original scenario data; Contact Info: Hylke de Vries (hylke.de.vries@knmi.nl);
1996,0.4,1.2,0.2,1,KNMI14 scenarios; Created as 3rd order polynomial fit through the original scenario data; Contact Info: Hylke de Vries (hylke.de.vries@knmi.nl);
1997,0.5,1.6,0.5,1.5,KNMI14 scenarios; Created as 3rd order polynomial fit through the original scenario data; Contact Info: Hylke de Vries (hylke.de.vries@knmi.nl);
1998,0.7,2,0.7,2.1,KNMI14 scenarios; Created as 3rd order polynomial fit through the original scenario data; Contact Info: Hylke de Vries (hylke.de.vries@knmi.nl);
1999,0.8,2.4,1,2.6,KNMI14 scenarios; Created as 3rd order polynomial fit through the original scenario data; Contact Info: Hylke de Vries (hylke.de.vries@knmi.nl);
2000,1,2.8,1.3,3.2,KNMI14 scenarios; Created as 3rd order polynomial fit through the original scenario data; Contact Info: Hylke de Vries (hylke.de.vries@knmi.nl);
2001,1.1,3.3,1.6,3.7,KNMI14 scenarios; Created as 3rd order polynomial fit through the original scenario data; Contact Info: Hylke de Vries (hylke.de.vries@knmi.nl);
2002,1.3,3.7,1.9,4.3,KNMI14 scenarios; Created as 3rd order polynomial fit through the original scenario data; Contact Info: Hylke de Vries (hylke.de.vries@knmi.nl);
2003,1.5,4.1,2.2,4.8,KNMI14 scenarios; Created as 3rd order polynomial fit through the original scenario data; Contact Info: Hylke de Vries (hylke.de.vries@knmi.nl);
2004,1.7,4.6,2.5,5.4,KNMI14 scenarios; Created as 3rd order polynomial fit through the original scenario data; Contact Info: Hylke de Vries (hylke.de.vries@knmi.nl);
2005,1.9,5,2.8,6,KNMI14 scenarios; Created as 3rd order polynomial fit through the original scenario data; Contact Info: Hylke de Vries (hylke.de.vries@knmi.nl);
2006,2,5.5,3.2,6.6,KNMI14 scenarios; Created as 3rd order polynomial fit through the original scenario data; Contact Info: Hylke de Vries (hylke.de.vries@knmi.nl);
