time,Zeespiegelmonitor,Trend Zeespiegelmonitor,ssp126_5pc,ssp126_50pc,ssp126_95pc,ssp245_5pc,ssp245_50pc,ssp245_95pc,ssp585_5pc,ssp585_50pc,ssp585_95pc
1890,-23.655833333333337,-22.176018057923073,,,,,,,,,
1891,-22.08916666666667,-21.950600608640578,,,,,,,,,
1892,-20.83916666666667,-21.7242936438055,,,,,,,,,
1893,-18.405833333333337,-21.49698060987904,,,,,,,,,
1894,-18.372500000000002,-21.268622001250073,,,,,,,,,
1895,-21.48916666666667,-21.03935374576557,,,,,,,,,
1896,-22.689166666666672,-20.8094813973577,,,,,,,,,
1897,-22.122500000000002,-20.579348399245458,,,,,,,,,
1898,-18.0225,-20.34925370304819,,,,,,,,,
1899,-18.28916666666667,-20.119480237609928,,,,,,,,,
1900,-21.83916666666667,-19.890443242750177,,,,,,,,,
1901,-23.872500000000002,-19.662703068448923,,,,,,,,,
1902,-26.705833333333338,-19.436822137301743,,,,,,,,,
1903,-15.572500000000003,-19.213249259096823,,,,,,,,,
1904,-19.372500000000002,-18.992323663005184,,,,,,,,,
1905,-21.855833333333337,-18.774497900235062,,,,,,,,,
1906,-18.172500000000003,-18.56024022231829,,,,,,,,,
1907,-20.455833333333338,-18.34983040490737,,,,,,,,,
1908,-21.172500000000003,-18.143253287584756,,,,,,,,,
1909,-16.139166666666668,-17.939403086010053,,,,,,,,,
1910,-15.222500000000004,-17.733938005777322,,,,,,,,,
1911,-17.422500000000003,-17.527188603561203,,,,,,,,,
1912,-11.205833333333336,-17.309862794329995,,,,,,,,,
1913,-14.072500000000003,-17.081861460510286,,,,,,,,,
1914,-12.83916666666667,-16.847200132327533,,,,,,,,,
1915,-16.622500000000002,-16.611985594361016,,,,,,,,,
1916,-11.522500000000003,-16.380558066754624,,,,,,,,,
1917,-16.972500000000004,-16.154292870645694,,,,,,,,,
1918,-17.33916666666667,-15.933992896131643,,,,,,,,,
1919,-19.55583333333334,-15.721124584313566,,,,,,,,,
1920,-19.105833333333337,-15.518923946723579,,,,,,,,,
1921,-16.122500000000002,-15.32975641092394,,,,,,,,,
1922,-16.822500000000005,-15.154587415010697,,,,,,,,,
1923,-14.58916666666667,-14.993574310737694,,,,,,,,,
1924,-17.189166666666672,-14.8455711166411,,,,,,,,,
1925,-11.705833333333336,-14.708304354056141,,,,,,,,,
1926,-13.48916666666667,-14.576518922842352,,,,,,,,,
1927,-13.405833333333337,-14.444555073368559,,,,,,,,,
1928,-12.122500000000002,-14.308800199504002,,,,,,,,,
1929,-17.372500000000002,-14.1649591623295,,,,,,,,,
1930,-12.522500000000004,-14.009121632103666,,,,,,,,,
1931,-11.672500000000003,-13.839507123768652,,,,,,,,,
1932,-13.18916666666667,-13.65617094557434,,,,,,,,,
1933,-17.755833333333335,-13.460352335794811,,,,,,,,,
1934,-16.28916666666667,-13.256204636168697,,,,,,,,,
1935,-11.555833333333336,-13.047790976075058,,,,,,,,,
1936,-10.122500000000002,-12.838618401909656,,,,,,,,,
1937,-11.672500000000003,-12.63319966600337,,,,,,,,,
1938,-10.305833333333336,-12.436114212677793,,,,,,,,,
1939,-13.872500000000002,-12.249599686323384,,,,,,,,,
1940,-13.13916666666667,-12.07496341055436,,,,,,,,,
1941,-16.689166666666672,-11.911078893888703,,,,,,,,,
1942,-15.13916666666667,-11.754246936978369,,,,,,,,,
1943,-10.122500000000002,-11.60110469192686,,,,,,,,,
1944,-9.122500000000002,-11.450126096779986,,,,,,,,,
1945,-9.955833333333336,-11.301231612080981,,,,,,,,,
1946,-11.03916666666667,-11.153288438899557,,,,,,,,,
1947,-17.105833333333337,-11.004827359619659,,,,,,,,,
1948,-9.78916666666667,-10.853487847916133,,,,,,,,,
1949,-8.405833333333337,-10.697303010197363,,,,,,,,,
1950,-8.505833333333337,-10.535240050854988,,,,,,,,,
1951,-10.03916666666667,-10.366215964080459,,,,,,,,,
1952,-7.6058333333333366,-10.192814818170337,,,,,,,,,
1953,-11.505833333333337,-10.019168464325293,,,,,,,,,
1954,-8.73916666666667,-9.847136707594553,,,,,,,,,
1955,-7.822500000000003,-9.67673187475746,,,,,,,,,
1956,-13.572500000000003,-9.510356800395384,,,,,,,,,
1957,-10.272500000000003,-9.353167478174251,,,,,,,,,
1958,-9.255833333333337,-9.209079430207952,,,,,,,,,
1959,-13.505833333333337,-9.079858488132132,,,,,,,,,
1960,-9.672500000000003,-8.964631281018526,,,,,,,,,
1961,-2.9058333333333355,-8.858074819196323,,,,,,,,,
1962,-8.155833333333337,-8.75228905109247,,,,,,,,,
1963,-13.88916666666667,-8.639341999777898,,,,,,,,,
1964,-11.83916666666667,-8.513264380837834,,,,,,,,,
1965,-6.372500000000002,-8.371986075444019,,,,,,,,,
1966,-3.422500000000003,-8.215435187339596,,,,,,,,,
1967,-0.6725000000000012,-8.044617346721646,,,,,,,,,
1968,-7.122500000000004,-7.8605475187722975,,,,,,,,,
1969,-8.48916666666667,-7.662476935010116,,,,,,,,,
1970,-5.172500000000003,-7.451309618566205,,,,,,,,,
1971,-10.205833333333336,-7.228982031098552,,,,,,,,,
1972,-13.022500000000003,-6.999888029247899,,,,,,,,,
1973,-6.239166666666669,-6.768956350133062,,,,,,,,,
1974,-5.8558333333333366,-6.540783289989144,,,,,,,,,
1975,-9.38916666666667,-6.317537219429214,,,,,,,,,
1976,-11.73916666666667,-6.1005734369736055,,,,,,,,,
1977,-6.6058333333333366,-5.890241633241259,,,,,,,,,
1978,-7.372500000000003,-5.684964488054931,,,,,,,,,
1979,-6.422500000000003,-5.4813428149788495,,,,,,,,,
1980,-3.6891666666666687,-5.274357569503609,,,,,,,,,
1981,-0.28916666666666835,-5.058165085618033,,,,,,,,,
1982,-2.6558333333333355,-4.829044073701545,,,,,,,,,
1983,1.0941666666666645,-4.586038510627198,,,,,,,,,
1984,-5.13916666666667,-4.328890596088832,,,,,,,,,
1985,-4.839166666666669,-4.05719975936751,,,,,,,,,
1986,-5.489166666666669,-3.773317375550603,,,,,,,,,
1987,-6.239166666666669,-3.482402088040377,,,,,,,,,
1988,1.3941666666666634,-3.1885423405101765,,,,,,,,,
1989,-2.4058333333333355,-2.8952805656217544,,,,,,,,,
1990,1.2441666666666649,-2.607328720112255,,,,,,,,,
1991,-8.98916666666667,-2.3299107006866127,,,,,,,,,
1992,-4.455833333333336,-2.0672963761400895,,,,,,,,,
1993,-4.705833333333336,-1.8210267339950954,,,,,,,,,
1994,-0.6558333333333355,-1.591897298249491,,,,,,,,,
1995,-0.2058333333333362,-1.3796682281653458,,,,,,,,,
1996,-11.58916666666667,-1.1810611791305528,,,,,,,,,
1997,-5.8558333333333366,-0.9899046914325468,,,,,,,,,
1998,2.244166666666665,-0.7989436750091078,,,,,,,,,
1999,1.6774999999999967,-0.6030588527276077,,,,,,,,,
2000,1.2108333333333317,-0.3996192023877893,,,,,,,,,
2001,1.910833333333331,-0.1842572021734393,,,,,,,,,
2002,0.42749999999999844,0.038858754212784924,,,,,,,,,
2003,-0.9891666666666694,0.26647207212684065,,,,,,,,,
2004,2.0941666666666663,0.49648636275152036,,,,,,,,,
2005,0.3108333333333313,0.7275900122311814,,,,,,,,,
2006,-0.055833333333335844,0.9588539641089677,-0.5048113528369351,1.1463469687952446,2.796260617646565,-0.4870609499270706,1.1629241861369881,2.8128274542512175,-0.4905278767909296,1.1586257146480776,2.802670190537902
2007,5.294166666666666,1.189656403635361,-0.08402302934192396,1.9460508143511077,3.9748205674495978,-0.050643569632345065,1.97893791004565,4.014457433787807,-0.04660113093311291,1.9890920859691181,4.024705733325657
2008,2.444166666666666,1.41958234399752,-0.12778611080230218,2.182336536351335,4.4925490162628545,-0.08005360529863936,2.2291098167745558,4.5580293668939165,-0.08056993786834377,2.2511562909824407,4.602835476705145
2009,-0.8225000000000016,1.6482366855820212,-0.531123074440589,2.6806968327557392,5.896371011967835,-0.4690193371129625,2.744442966219597,5.988630338922407,-0.4680737701712998,2.779242725907264,6.064160028121882
2010,-1.6558333333333355,1.8753172864292822,0.5982795546559234,3.28083179198714,6.004308078404884,0.6616501613254331,3.358478901721088,6.134157126293398,0.645583000116386,3.400110581554191,6.28405921138322
2011,1.827499999999997,2.1007317870407394,0.8430814511751914,3.6808658354948793,6.589697017401142,0.9147330715005288,3.7726775364599607,6.7600688873068995,0.888059953252516,3.8226435280343187,6.980678368932918
2012,0.8774999999999977,2.3245781898979407,0.6868650257154265,4.098753480316942,7.594439478423431,0.7704569149560758,4.206023160360583,7.796332864267501,0.7414437642305398,4.269154575313163,8.063876627184916
2013,-1.6225000000000023,2.547029591848529,1.4294683598065279,4.544450698773996,7.842332587456636,1.5156713454716806,4.66104316818348,8.091253260334414,1.464662867557306,4.726101168990218,8.46741686535646
2014,2.4774999999999974,2.7683572977092306,1.1557070010761896,4.767009570682054,8.579696140623655,1.254809462924552,4.898591454314957,8.85992044275672,1.2007535274417471,4.978365716274741,9.29148666331666
2015,5.060833333333331,2.988969440448507,1.8713178975708924,5.588308419112594,9.587129866646855,1.730646203505746,5.375420893866289,9.458854546342865,1.541262761969034,5.754109435760429,10.578284763615798
2016,3.5108333333333306,3.209274092367022,2.4055291922566857,6.115307076123346,10.213832597061119,2.1426332421283982,6.268662456382059,10.865550221820401,2.4537759117520626,6.635371956800591,11.646804266232872
2017,7.0274999999999945,3.429572100716595,2.6361712802290285,6.647519789543952,11.102830069994864,2.595200457061474,6.735937456546973,11.491399913424814,2.8151964515923202,6.914945341717144,12.119362448798546
2018,-0.25583333333333513,3.650075921515537,3.2139974877504143,7.042875623374273,11.49446036231125,2.799279993815743,7.167540654449627,12.245064379984715,3.559385687062324,7.675636430324709,13.16030756270042
2019,6.727499999999996,3.8708783858446405,3.218527490949083,7.535425882006506,12.479165369622876,2.698480584870917,7.408593889493107,12.894400156361023,3.1707895011353626,7.616590701750964,13.551257767515217
2020,,,4.0106350848111,8.360143003778575,13.472914732769324,3.656638658897733,8.153555940278164,13.682430679421161,3.654467728497205,8.135394011080768,14.38551963808348
2021,,,3.8457206965379696,8.62336418584229,14.182199516644356,4.127162918431218,8.983961216996404,14.931331520047085,3.5760514580781724,8.891170925881074,15.835512437933197
2022,,,4.005665948877289,9.168167276235437,15.144721983224088,4.282397248801607,9.426866252813694,15.748368519042266,4.065757167448074,9.532091437775597,16.83270400924679
2023,,,4.308936311018258,9.14466928233874,15.067960131805265,4.66770104123933,9.852406005324696,16.400556577355236,4.078372972012418,9.76632039375854,17.46588286495648
2024,,,4.851469639193723,9.943113774987923,16.196680920819535,4.332212592962295,10.03881633388127,17.102514545461336,4.534805315356129,10.331294785669972,18.382789406478455
2025,,,4.725191585226851,10.026790642522986,16.58412125361067,4.5692611599504325,10.356968912406854,17.67378071241408,4.8160426301902675,10.977758354593027,19.495450549045277
2026,,,5.116230457416054,10.4086265564112,17.1507492745637,5.32137185216587,11.117344887296825,18.6582540518106,4.714100748106114,11.358080269955696,20.394180912294853
2027,,,5.338362528624171,10.913321680294175,18.001549129353545,5.680702234395736,11.652537693143566,19.509324627969225,5.460710803650788,11.920778127274206,21.19064140973069
